PV (kWh),MT (kWh),Load ($/kWh)
0,89,84
0,84,89
0,89,84
0,79,85
0,68,96
7,90,102
21,57,104
40,38,98
58,23,110
76,18,100
83,19,88
93,6,100
87,10,107
92,20,114
103,9,110
85,1,102
66,7,93
27,20,95
17,32,97
0,22,94
0,21,104
0,43,106
0,67,103
0,86,100
0,67,52
0,50,47
0,59,47
0,42,64
12,45,59
27,26,73
41,11,72
55,10,77
52,2,71
71,1,75
84,11,84
78,0,74
81,21,76
78,11,72
80,23,75
60,59,73
64,58,86
27,63,81
4,52,84
0,83,70
0,69,55
0,76,56
0,68,33
0,68,33
0,65,11
0,53,9
0,45,11
0,52,8
12,38,10
33,17,26
41,12,55
46,13,52
55,4,55
62,13,51
69,0,55
67,21,50
76,13,55
71,46,53
48,59,53
34,51,50
26,52,56
12,56,50
0,42,55
0,61,51
0,70,54
0,62,50
0,66,55
0,60,51
