number,27_starttime,27_endtime,27_amount,1222_starttime,1222_endtime,1222_amount,5679_starttime,5679_endtime,5679_amount,9053_starttime,9053_endtime,9053_amount
1,2019/5/1 14:10,2019/5/1 15:23,3.597783333,2019/5/1 1:16,2019/5/1 1:29,0.40375,2019/5/1 19:14,2019/5/1 20:54,10.64735,2019/5/1 18:40,2019/5/2 4:30,14.47833333
2,2019/5/2 12:16,2019/5/2 14:28,6.98225,2019/5/1 17:45,2019/5/1 18:44,4.6161,2019/5/3 11:05,2019/5/3 11:50,4.969333333,2019/5/2 19:20,2019/5/2 20:41,0.324066667
3,2019/5/4 13:40,2019/5/4 16:09,7.8939,2019/5/2 7:22,2019/5/2 7:37,0.8543,2019/5/3 15:35,2019/5/3 16:47,7.4936,2019/5/3 17:15,2019/5/4 6:51,17.17793333
4,2019/5/5 18:33,2019/5/5 21:02,7.947283333,2019/5/3 17:51,2019/5/3 19:46,11.35096667,2019/5/4 20:22,2019/5/4 22:07,11.12898333,2019/5/4 11:14,2019/5/4 11:20,0.065333333
5,2019/5/6 17:43,2019/5/6 19:58,7.173166667,2019/5/4 11:44,2019/5/4 11:48,0.28635,2019/5/6 18:49,2019/5/6 20:06,8.00555,2019/5/4 11:22,2019/5/4 11:29,0.078083333
6,2019/5/8 19:03,2019/5/8 21:21,7.341616667,2019/5/4 15:38,2019/5/4 16:12,3.816683333,2019/5/10 10:47,2019/5/10 11:54,7.508583333,2019/5/4 11:31,2019/5/4 11:36,0.048833333
7,2019/5/9 14:06,2019/5/9 15:22,3.839433333,2019/5/4 22:50,2019/5/5 0:10,6.925816667,2019/5/10 20:10,2019/5/10 21:03,5.21285,2019/5/4 12:00,2019/5/4 12:02,0.012883333
8,2019/5/10 13:40,2019/5/10 15:49,6.872033333,2019/5/5 13:32,2019/5/5 13:38,0.458033333,2019/5/11 15:38,2019/5/11 16:49,7.429216667,2019/5/4 16:36,2019/5/4 16:42,0.105566667
9,2019/5/11 14:48,2019/5/11 16:45,6.052733333,2019/5/5 16:13,2019/5/5 17:34,6.964633333,2019/5/13 21:01,2019/5/13 22:32,8.85065,2019/5/11 6:29,2019/5/12 1:40,19.04008333
10,2019/5/13 16:20,2019/5/13 19:59,11.74705,2019/5/6 7:54,2019/5/6 8:01,0.500433333,2019/5/14 15:44,2019/5/14 16:50,7.294883333,2019/5/13 18:33,2019/5/13 21:19,0.632383333
11,2019/5/14 12:08,2019/5/14 13:14,3.642833333,2019/5/6 16:35,2019/5/6 17:41,5.491183333,2019/5/14 18:48,2019/5/14 19:46,5.75145,2019/5/15 18:18,2019/5/15 18:20,0.003966667
12,2019/5/14 14:57,2019/5/14 18:40,12.0921,2019/5/7 7:50,2019/5/7 8:05,0.788683333,2019/5/16 8:56,2019/5/16 9:47,5.63495,2019/5/15 18:22,2019/5/15 18:27,0.01075
13,2019/5/15 19:07,2019/5/15 21:53,8.890333333,2019/5/7 18:12,2019/5/7 19:22,5.70375,2019/5/17 15:45,2019/5/17 16:52,6.87845,2019/5/16 19:35,2019/5/17 5:57,10.13331667
14,2019/5/16 14:08,2019/5/16 15:21,3.69315,2019/5/8 4:56,2019/5/8 7:44,1.680616667,2019/5/19 9:37,2019/5/19 10:50,7.565316667,2019/5/18 15:47,2019/5/18 15:51,0.072066667
15,2019/5/17 18:13,2019/5/17 20:40,7.9259,2019/5/8 20:01,2019/5/8 21:44,9.790066667,2019/5/19 15:18,2019/5/19 16:18,6.169066667,2019/5/20 19:26,2019/5/21 5:51,10.12941667
16,2019/5/19 16:30,2019/5/19 20:23,12.4343,2019/5/9 7:38,2019/5/9 7:47,0.74215,2019/5/20 15:21,2019/5/20 16:26,6.847366667,2019/5/21 19:09,2019/5/21 19:50,0.104833333
17,2019/5/20 15:39,2019/5/20 16:44,3.3206,2019/5/9 21:34,2019/5/9 22:44,5.748616667,2019/5/21 13:03,2019/5/21 14:45,10.90373333,2019/5/21 20:52,2019/5/21 21:35,0.11305
18,2019/5/21 11:03,2019/5/21 13:35,8.477983333,2019/5/10 7:51,2019/5/10 7:53,0.004183333,2019/5/23 18:52,2019/5/23 20:14,8.563766667,2019/5/21 22:37,2019/5/21 23:16,0.101183333
19,2019/5/21 16:04,2019/5/21 19:27,11.04758333,2019/5/11 11:02,2019/5/11 12:52,10.5115,2019/5/24 15:11,2019/5/24 16:20,7.178966667,2019/5/22 0:19,2019/5/22 0:58,0.100416667
20,2019/5/21 19:29,2019/5/21 19:32,0.062366667,2019/5/11 15:03,2019/5/11 15:06,0.126866667,2019/5/26 12:21,2019/5/26 13:32,7.335333333,2019/5/22 2:02,2019/5/22 2:42,0.099883333
21,2019/5/21 23:15,2019/5/22 1:08,5.964233333,2019/5/11 15:44,2019/5/11 16:39,4.433966667,2019/5/28 16:50,2019/5/28 18:14,8.863866667,2019/5/22 3:48,2019/5/22 4:24,0.085383333
22,2019/5/22 19:34,2019/5/22 21:52,7.379066667,2019/5/12 10:07,2019/5/12 10:09,0.004033333,2019/5/30 18:11,2019/5/30 19:48,10.26478333,2019/5/22 15:51,2019/5/22 16:20,0.075283333
23,2019/5/23 17:54,2019/5/23 20:07,7.134233333,2019/5/12 11:48,2019/5/12 12:43,4.038616667,2019/6/2 14:23,2019/6/2 15:33,7.089733333,2019/5/22 16:22,2019/5/22 16:28,0.0128
24,2019/5/24 22:04,2019/5/25 0:05,6.424366667,2019/5/12 15:36,2019/5/12 15:47,0.32605,2019/6/5 7:38,2019/6/5 9:19,10.87811667,2019/5/22 16:35,2019/5/22 16:56,0.04555
25,2019/5/25 18:01,2019/5/25 20:05,6.611483333,2019/5/12 20:33,2019/5/12 20:49,0.310633333,2019/6/5 13:12,2019/6/5 14:00,4.839633333,2019/5/22 17:18,2019/5/22 18:03,0.120333333
26,2019/5/26 21:04,2019/5/26 23:25,7.603183333,2019/5/13 0:06,2019/5/13 0:22,0.309866667,2019/6/10 14:24,2019/6/10 16:02,10.55983333,2019/5/22 19:03,2019/5/22 19:45,0.1003
27,2019/5/28 12:38,2019/5/28 14:35,6.235983333,2019/5/13 3:39,2019/5/13 3:56,0.328966667,2019/6/11 14:13,2019/6/11 14:59,4.52235,2019/5/22 20:40,2019/5/23 6:44,14.62373333
28,2019/5/29 19:43,2019/5/29 21:56,7.09605,2019/5/13 6:53,2019/5/13 7:45,1.470766667,2019/6/12 18:18,2019/6/12 19:55,10.26511667,2019/5/23 16:26,2019/5/23 16:47,0.142516667
29,2019/5/30 15:51,2019/5/30 16:57,3.380933333,2019/5/13 20:53,2019/5/13 22:12,6.561916667,2019/6/13 17:02,2019/6/13 18:34,9.829766667,2019/5/23 20:17,2019/5/23 21:00,0.086766667
30,2019/5/31 15:32,2019/5/31 18:12,8.691583333,2019/5/14 0:10,2019/5/14 0:24,0.430116667,2019/6/15 16:52,2019/6/15 18:14,8.693816667,2019/5/23 22:03,2019/5/23 22:52,0.09995
31,2019/6/1 22:10,2019/6/2 0:03,5.970316667,2019/5/14 7:28,2019/5/14 7:39,0.930516667,2019/6/19 14:40,2019/6/19 16:09,9.3727,2019/5/23 23:55,2019/5/24 0:43,0.098183333
32,2019/6/2 15:12,2019/6/2 17:13,6.402533333,2019/5/14 17:18,2019/5/14 18:53,8.682383333,2019/6/21 10:13,2019/6/21 11:41,9.212433333,2019/5/24 1:46,2019/5/24 2:35,0.100366667
33,2019/6/3 16:19,2019/6/3 17:45,4.445033333,2019/5/14 22:00,2019/5/14 22:13,0.4231,2019/6/24 15:16,2019/6/24 16:31,7.90135,2019/5/24 3:38,2019/5/24 4:21,0.087316667
34,2019/6/4 19:48,2019/6/4 21:41,5.950683333,2019/5/15 7:34,2019/5/15 7:49,0.9106,2019/6/25 17:28,2019/6/25 19:23,12.55813333,2019/5/24 18:05,2019/5/24 18:27,0.042133333
35,2019/6/5 18:06,2019/6/5 20:38,8.196233333,2019/5/15 17:26,2019/5/15 18:26,4.729633333,2019/6/26 14:56,2019/6/26 16:35,10.73683333,2019/5/24 19:32,2019/5/24 20:15,0.088666667
